,track_id,track_popularity,track_album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song,track_artist_na,track_album_release_date_na,danceability_na,energy_na,loudness_na,speechiness_na,acousticness_na,track_album_release_year,track_album_release_month,language_category,track_artist_type
11838,0fmjqby3awo1qdbo3gwxib,65,2g4auqfwxcv1udqjm2ouyr,0.499,0.502,5,-9.307,1,0.0254,0.0128,0.5229518035638313,0.068,0.0397,97.544,2014-05-19,1,3.61,1,0,0,0,0,0,0,0,2014,5,English,Male
11839,23khhseclqqvmcit1wmans,72,2g4auqfwxcv1udqjm2ouyr,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.4799539600989037,0.106,0.355,93.458,2014-05-19,1,4.75,1,0,0,0,0,0,0,0,2014,5,Not English,Male
11840,6c6w25yodgjtq3qspoga5t,62,2g4auqfwxcv1udqjm2ouyr,0.688,0.706,6,-7.31,1,0.0324,0.0661,0.11778303565638346,0.118,0.689,112.019,2014-05-19,1,3.81,1,0,0,0,0,0,0,0,2014,5,Not English,Male
11841,0fquzbqnlcd1ofo7b2ncfi,58,2g4auqfwxcv1udqjm2ouyr,0.482,0.574,11,-7.963,1,0.028,0.00382,0.0769610411361284,0.123,0.184,119.994,2014-05-19,1,4.1,1,0,0,0,0,0,0,0,2014,5,Not English,Male
11842,4gkk1unzpxiptbuay97dkj,64,2g4auqfwxcv1udqjm2ouyr,0.548,0.475,1,-6.1344981830618615,1,0.0355,0.09201242508262543,0.5922212619699848,0.0944,0.0349,126.976,2014-05-19,1,4.91,1,0,0,0,0,1,0,1,2014,5,Not English,Male
11843,22uzf19lxqw87kovkr79fq,57,2g4auqfwxcv1udqjm2ouyr,0.518,0.572,8,-9.037,1,0.0291,0.00715,0.22793206804600694,0.139,0.347,160.005,2014-05-19,1,3.91,1,0,0,0,0,0,0,0,2014,5,English,Male
11844,2u4uhtettculnkbffhsndx,55,2g4auqfwxcv1udqjm2ouyr,0.6721834617664493,0.7347140853536365,11,-6.1344981830618615,1,0.0349,0.09201242508262543,0.1672079189839064,0.159,0.04,74.848,2014-05-19,1,5.36,1,0,0,1,1,1,0,1,2014,5,Not English,Male
11846,77yuzxcs3csrgtpsw0pvyk,63,2g4auqfwxcv1udqjm2ouyr,0.6721834617664493,0.7347140853536365,10,-6.1344981830618615,1,0.0376,0.09201242508262543,0.6037693694087286,0.0934,0.0618,92.022,2014-05-19,1,5.39,1,0,0,1,1,1,0,1,2014,5,Not English,Male
11847,5rcz84rmz0tvtzqr3fwhog,36,2jqb4yeh4xwhlog21iueuf,0.507,0.7347140853536365,6,-6.1344981830618615,0,0.0283,0.183,0.11689375147149943,0.112,0.201,74.98,2014-06-29,1,3.53,1,0,0,0,1,1,0,0,2014,6,Not English,Male
11848,0vaqb7oyaoerzh7slmhvt6,37,2jqb4yeh4xwhlog21iueuf,0.595,0.638,7,-7.941,1,0.0307,0.104,0.0008206631638490061,0.0699,0.51,122.005,2014-06-29,1,4.29,1,0,0,0,0,0,0,0,2014,6,English,Male
11849,1nleqqdtdgwjbk0bvxldab,32,2jqb4yeh4xwhlog21iueuf,0.6721834617664493,0.7347140853536365,10,-6.1344981830618615,1,0.0285,0.09201242508262543,0.6130211360806604,0.117,0.0945,107.019,2014-06-29,1,1.62,1,0,0,1,1,1,0,1,2014,6,Not English,Male
11850,54ezmuggbfjbv7k248bttt,77,0e5ikyhikgbyqkmfsfonbz,0.654,0.506,11,-6.1344981830618615,0,0.0535,0.09201242508262543,0.015381102038302391,0.155,0.831,123.179,01/01/1972,2,4.2,2,0,1,0,0,1,0,1,2020,1,English,Male
